feeds,label,format,name
http://fetchrss.com/rss/6414305008f26050a001496364634bd98e220c120b2c28d2.xml,marketing,website,The Drum
http://fetchrss.com/rss/6414305008f26050a001496364634d550ba69c3e8810e912.xml,marketing,website,Marketing Week
http://fetchrss.com/rss/6414305008f26050a0014963644c0e9a0ce5b50edf7e3902.xml,startups,website,Crunchbase News
https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10001147,marketing,website,Business News
http://fetchrss.com/rss/6414305008f26050a0014963646238426eb68b77a84209a2.xml,marketing,podcast,Adweek Podcast
https://www.techpluto.com/rss,ainews,website,TechPluto
https://www.techpluto.com/rss,startups,website,TechPluto
https://siliconcanals.com/rss,startups,website,Silicon Canals
http://fetchrss.com/rss/6414305008f26050a00149636436726b425aad20f312b5d6.xml,crypto,website,HackerNoon
http://fetchrss.com/rss/6414305008f26050a0014963645e1b1c57be8008d04055c2.xml,crypto,website,TechCrunch
http://fetchrss.com/rss/6414305008f26050a0014963645e2535566c472e3360f642.xml,crypto,podcast,The Decrypting Crypto Podcast
https://unchained.libsyn.com/rss,crypto,podcast,Unchained
https://pod.link/1434060078.rss,crypto,podcast,The Pomp Podcast
https://www.zeroknowledge.fm/rss,crypto,podcast,ZK Podcast
https://blog.ethereum.org/feed.xml,crypto,newsletter,Ethereum Blog
http://fetchrss.com/rss/6414305008f26050a0014963645e26be7d8d9d463a670f72.xml,crypto,newsletter,Chainlink Blog
https://www.tokeneconomy.co/feed,crypto,newsletter,Token Economy
http://fetchrss.com/rss/6414305008f26050a00149636480bdfa402f02085c688002.xml,crypto,website,The Defiant
http://podcast.banklesshq.com/rss,crypto,podcast,Bankless
http://fetchrss.com/rss/6414305008f26050a0014963645e230801e48e62e4581212.xml,crypto,website,CoinDesk
https://decrypt.co/feed,crypto,website,Decrypt
https://techfundingnews.com/rss,startups,website,Tech Funding News
https://techfundingnews.com/rss,crypto,website,Tech Funding News
http://fetchrss.com/rss/6414305008f26050a0014963645e2a0a4bafdc0e07784412.xml,crypto,website,Cointelegraph
http://fetchrss.com/rss/6414305008f26050a0014963645e23df0ab8f74c6b7b8a62.xml,crypto,website,CryptoSlate
http://fetchrss.com/rss/6414305008f26050a0014963645e243ea52bad7ed71221e2.xml,crypto,website,theWeb3 News
https://rss.nytimes.com/services/xml/rss/nyt/SmallBusiness.xml,marketing,website,NYT
https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,marketing,website,NYT
https://www.theverge.com/rss/index.xml,marketing,website,The Verge
https://sifted.eu/feed/?post_type=article,marketing,website,Sifted
https://sifted.eu/feed/?post_type=article,startups,website,Sifted
https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10001147,marketing,website,CNBC
https://fortune.com/feed/fortune-feeds/?id=3230629,marketing,website,Fortune
http://fetchrss.com/rss/6414305008f26050a0014963645cf7643bcf8038ec0bcfb2.xml,marketing,website,Pando Blog
https://tech.co/news/rss,marketing,website,Tech.Co
